5 September 1939
19 July 1947
December 21 1934
September 30 1964
December 16 1969
6 July 1942
May 28 1930
25 January 1956
January 2 1974
September 29 1954
June 23 1960
23 June 1942
January 16 1944
18 November 1944
June 29 1930
March 4 1904
March 14 1960
June 5 1941
August 7 1972
12 January 1942
2 August 1956
October 26 1954
26 April 1933
February 20 1945
April 14 1875
September 15 1938
11 May 1924
12 January 1974
26 November 1980
8 August 1931
March 6 1953
July 13 1932
November 22 1973
6 November 1949
14 January 1876
2 June 1949
4 July 1973
June 16 1965
October 10 1958
August 7 1946
March 9 1943
July 3 1951
December 26 1944
February 23 1953
September 19 1952
August 7 1961
December 28 1944
July 25 1958
21 March 1941
July 14 1939
8 January 1942
August 15 1949
19 July 1938
June 9 1941
September 22 1959
December 28 1929
February 27 1947
22 September 1948
24 February 1967
January 17 1921
28 October 1964
10 Nov 1943
April 15 1951
December 10 1943
October 6 1931
July 1 1962
30 March 1904
November 22 1952
13 June 1955
November 28 1950
5 April 1935
September 19 1934
September 2 1948
June 1 1940
October 5 1958
15 July 1943
20 May 1929
20 January 1939
June 6 1939
