4 September 973
April 28 1906
6 December 1888
10 Aug 787
5 September 1939
19 July 1947
December 21 1934
7 September 1836
March 22 1394
17 May 1923
5 April 2012
26 October 1846
December 15 1960
6 June 1889
October 15 1829
24 June 1915
3 June 1856
October 9 2017
September 30 1964
16 December 1474
December 16 1969
July 23 1928
November 9 1934
August 22 1843
March 10 1734
6 July 1942
14 December 1546
November 23 1853
May 28 1930
February 21 1925
May 22 1920
25 January 1956
11 September 1877
10 June 1935
January 2 1974
September 29 1954
June 23 1960
December 22 1911
23 June 1942
13 April 1905
27 September 1918
February 27 1871
August 12 1897
July 23 1924
January 16 1944
October 29 1866
16 February 1902
18 November 1944
January 10 1890
March 24 1893
7 March 1625
4 January 1797
September 1 1902
October 8 1911
May 6 1916
March 7 1837
31 October 1793
21 February 1744
June 29 1930
March 4 1904
26 January 1913
March 14 1960
February 26 1913
25 April 1891
February 5 1882
8 February 1933
June 5 1941
August 7 1972
27 February 1897
January 20 1573
May 5 1828
17 February 1723
12 January 1942
2 August 1956
25 December 1724
October 26 1954
25 December 1642
17 October 1937
6 January 1915
19 December 1957
26 April 1933
November 3 1930
February 20 1945
December 11 1806
25 May 1834
April 12 1956
12 June 1933
16 January 1966
October 23 1969
March 20 1920
February 14 1898
24 August 1950
28 August 1912
6 August 1902
September 12 1838
28 January 1622
28 April 1774
April 14 1875
12 December 1803
April 1 1862
September 15 1938
July 9 1919
August 9 1911
11 November 1915
January 15 1911
25 January 1742
November 19 1932
21 August 1848
7 March 1792
11 May 1924
5 December 1972
July 1 1859
July 24 1955
4 October 1840
December 7 1905
12 January 1974
26 November 1980
15 April 1833
14 June 1889
April 16 1822
March 7 1899
25 October 1786
10 December 1921
4 March 1923
11 August 1931
March 12 1835
December 6 1848
June 10 1927
8 August 1931
March 6 1953
May 30 1423
July 13 1932
6 June 1436
April 4 1892
1 March 1754
6 October 1893
26 August 1873
July 30 1878
May 2 1829
November 22 1973
December 15 2012
May 27 1787
12 January 1587
November 11 1910
6 November 1949
June 19 1846
5 October 1882
June 19 1917
April 16 1495
28 April 1846
14 January 1876
12 April 1914
27 June 1767
27 November 1701
June 21 1823
2 June 1949
2 August 1890
4 July 1788
19 August 1646
4 July 1973
June 16 1965
17 September 1764
October 10 1958
March 21 1913
1 January 1914
July 7 1950
October 4 1870
January 29 1935
January 3 1943
September 19 1957
17 May 1836
August 7 1946
June 24 1913
September 11 1947
February 6 1927
July 20 1855
21 December 1962
November 2 1885
February 29 1820
May 18 1908
July 28 1915
March 9 1943
October 23 1894
July 3 1951
December 26 1944
18 March 1824
January 13 1909
April 4 1918
December 30 1934
6 December 1931
February 23 1953
25 February 1851
March 13 1907
28 November 1700
February 28 1904
July 29 1819
18 February 1677
September 19 1952
September 21 1890
30 December 1928
August 7 1961
14 March 1879
9 March 1564
December 28 1944
July 25 1958
21 March 1941
15 February 1564
December 8 1947
December 9 1910
July 14 1939
28 March 1897
8 January 1942
May 15 1720
March 12 1907
7 February 1824
19 January 1851
December 27 1571
September 27 1814
August 15 1949
September 8 1854
July 23 1957
18 June 1799
January 16 1868
26 November 1895
18 July 1811
March 13 1855
6 October 1732
26 June 1730
16 July 1689
13 February 1523
19 July 1938
May 26 1899
10 January 1493
2 January 1873
June 9 1941
September 22 1959
16 July 1746
May 15 1622
24 December 1761
23 March 1837
March 31 1894
December 28 1929
December 9 1946
September 7 1914
15 January 1813
May 1 1955
15 June 1927
October 22 1905
June 21 1863
5 June 1819
26 March 1940
December 17 1650
19 February 1859
18 May 1711
20 April 1859
November 26 1864
6 May 1872
28 December 1882
17 March 1876
June 21 1916
January 19 1925
October 15 1909
February 27 1947
July 25 1920
12 January 1890
15 November 1738
2 February 1892
5 December 1903
February 21 1910
November 8 1940
28 June 1675
5 August 1937
September 5 1848
28 April 1900
